table,column,column_datatype,column_description,primary_key,foreign_key_ref
DimGeography,FrenchCountryRegionName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'FrenchCountryRegionName' column in the 'DimGeography' table holds textual data representing the names of regions within France, serving to categorize and identify geographical locations for analysis and reporting purposes.",FALSE,
DimGeography,PostalCode,"NVARCHAR(15) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'PostalCode' column in the 'DimGeography' table holds alphanumeric codes representing specific geographic areas for the purpose of identifying locations for shipping, billing, and demographic analysis.",FALSE,
DimGeography,SalesTerritoryKey,INTEGER,"The 'SalesTerritoryKey' in the 'DimGeography' table is a unique identifier that links geographic regions to specific sales territories, facilitating the analysis of sales performance and regional market trends.",FALSE,DimSalesTerritory.SalesTerritoryKey
DimGeography,IpAddressLocator,"NVARCHAR(15) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'IpAddressLocator' column in the 'DimGeography' table is designed to store geolocation data derived from IP addresses, enabling the identification of geographic locations associated with internet users for purposes such as regional analysis, targeted marketing, and enhancing user experience.",FALSE,
DimOrganization,OrganizationKey,INTEGER,"The 'OrganizationKey' column in the 'DimOrganization' table holds a unique identifier for each organization, serving as a primary key to facilitate efficient data retrieval and establish relationships with other tables in the database.",TRUE,
DimOrganization,ParentOrganizationKey,INTEGER,"The 'ParentOrganizationKey' column in the 'DimOrganization' table holds unique identifiers for parent organizations, facilitating hierarchical relationships and enabling the organization of data within a multi-level organizational structure.",FALSE,DimOrganization.OrganizationKey
DimOrganization,PercentageOfOwnership,"NVARCHAR(16) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'PercentageOfOwnership' column in the 'DimOrganization' table holds numerical values representing the proportion of ownership that an entity or individual has in a particular organization, serving to facilitate analysis of ownership structures and stakeholder influence within the organization.",FALSE,
DimOrganization,OrganizationName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'OrganizationName' column in the 'DimOrganization' table holds textual data representing the names of various organizations, serving the purpose of uniquely identifying and categorizing entities within the database for reporting and analysis.",FALSE,
DimOrganization,CurrencyKey,INTEGER,"The 'CurrencyKey' column in the 'DimOrganization' table holds unique identifiers for different currencies, facilitating the association of financial transactions and reporting with the appropriate currency type used by each organization.",FALSE,DimCurrency.CurrencyKey
DimProduct,ProductKey,INTEGER,"The 'ProductKey' column in the 'DimProduct' table serves as a unique identifier for each product, typically holding integer or alphanumeric values that facilitate efficient data retrieval and relationships with other tables in a data warehouse.",TRUE,
DimProduct,ProductAlternateKey,"NVARCHAR(25) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'ProductAlternateKey' column in the 'DimProduct' table holds unique identifiers for products that serve as alternative keys, enabling efficient cross-referencing and integration with other data sources or systems.",FALSE,
DimProduct,ProductSubcategoryKey,INTEGER,"The 'ProductSubcategoryKey' in the 'DimProduct' table is an integer identifier that links each product to its specific subcategory, facilitating detailed analysis and reporting of product classifications within a broader category framework.",FALSE,DimProductSubcategory.ProductSubcategoryKey
DimProduct,WeightUnitMeasureCode,"NCHAR(3) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'WeightUnitMeasureCode' column in the 'DimProduct' table holds codes that represent the units of measurement for the weight of products, facilitating consistent data interpretation and reporting across various systems and applications.",FALSE,
DimProduct,SizeUnitMeasureCode,"NCHAR(3) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SizeUnitMeasureCode' column in the 'DimProduct' table holds codes representing the units of measurement for product sizes, such as ""cm"" for centimeters or ""in"" for inches, facilitating standardized size categorization and comparisons across products.",FALSE,
DimProduct,EnglishProductName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EnglishProductName' column in the 'DimProduct' database table holds the descriptive names of products in English, serving to identify and differentiate products for users and systems interacting with the database.",FALSE,
DimProduct,SpanishProductName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SpanishProductName' column in the 'DimProduct' table holds the names of products translated into Spanish, serving to facilitate localization and enhance user experience for Spanish-speaking customers.",FALSE,
DimProduct,FrenchProductName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'FrenchProductName' column in the 'DimProduct' table holds the names of products in French, serving to provide localized product identification for French-speaking markets.",FALSE,
DimProduct,StandardCost,MONEY,"The 'StandardCost' column in the 'DimProduct' table holds the predetermined cost of manufacturing or acquiring a product, serving as a benchmark for pricing, budgeting, and financial analysis within the inventory management system.",FALSE,
DimProduct,FinishedGoodsFlag,BIT,"The 'FinishedGoodsFlag' column in the 'DimProduct' table indicates whether a product is a finished good (true) or not (false), serving to differentiate between sellable items and those that require further processing or assembly.",FALSE,
DimProduct,Color,"NVARCHAR(15) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Color' column in the 'DimProduct' database table holds textual data representing the color attributes of products, which is used for categorization, filtering, and enhancing the visual appeal of product listings.",FALSE,
DimProduct,SafetyStockLevel,SMALLINT,The 'SafetyStockLevel' column in the 'DimProduct' table holds numerical values representing the minimum inventory quantity of a product that must be maintained to prevent stockouts during unexpected demand fluctuations or supply delays.,FALSE,
DimProduct,ReorderPoint,SMALLINT,"The 'ReorderPoint' column in the 'DimProduct' database table holds numerical values that indicate the inventory level at which a product should be reordered to prevent stockouts, ensuring optimal inventory management and supply chain efficiency.",FALSE,
DimProduct,ListPrice,MONEY,"The 'ListPrice' column in the 'DimProduct' table holds the standard retail price of each product, serving as a reference for pricing strategies and sales analysis.",FALSE,
DimProduct,Size,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Size' column in the 'DimProduct' table holds categorical data representing the dimensions or volume of products, such as small, medium, large, or specific measurements, to facilitate inventory management and customer selection.",FALSE,
DimProduct,SizeRange,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SizeRange' column in the 'DimProduct' table holds categorical data representing the available size options for each product, such as small, medium, large, or specific measurements, to facilitate inventory management and customer selection.",FALSE,
DimProduct,Weight,FLOAT,"The 'Weight' column in the 'DimProduct' database table holds numerical values representing the weight of each product, typically measured in units such as grams or pounds, and is used for inventory management, shipping calculations, and product categorization.",FALSE,
DimProduct,DaysToManufacture,INTEGER,"The 'DaysToManufacture' column in the 'DimProduct' table holds numerical data representing the average number of days required to manufacture a product, serving to inform inventory management and production scheduling decisions.",FALSE,
DimProduct,ProductLine,"NCHAR(2) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'ProductLine' column in the 'DimProduct' database table holds categorical data representing the various lines or categories of products offered by a company, serving to facilitate product classification, analysis, and reporting.",FALSE,
DimProduct,DealerPrice,MONEY,"The 'DealerPrice' column in the 'DimProduct' table holds numerical values representing the wholesale or negotiated price at which products are sold to dealers, serving as a key reference for pricing strategies and inventory management.",FALSE,
DimProduct,Class,"NCHAR(2) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Class' column in the DimProduct table holds categorical data representing the classification of products, such as electronics, clothing, or furniture, to facilitate organization, reporting, and analysis of product offerings.",FALSE,
DimProduct,Style,"NCHAR(2) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Style' column in the DimProduct table holds categorical data representing the design or aesthetic characteristics of a product, such as modern, vintage, or minimalist, to facilitate product classification and enhance searchability in inventory management.",FALSE,
DimProduct,ModelName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'ModelName' column in the 'DimProduct' table holds textual data representing the specific names or identifiers of product models, serving to distinguish between different variations of products for inventory management and reporting purposes.",FALSE,
DimProduct,LargePhoto,VARBINARY,"The 'LargePhoto' column in the 'DimProduct' table is designed to store high-resolution images of products, serving to enhance visual representation and improve customer engagement in e-commerce applications.",FALSE,
DimProduct,EnglishDescription,"NVARCHAR(400) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EnglishDescription' column in the 'DimProduct' table holds textual descriptions of products in English, providing detailed information to enhance user understanding and facilitate product selection in applications such as e-commerce or inventory management.",FALSE,
DimProduct,FrenchDescription,"NVARCHAR(400) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'FrenchDescription' column in the 'DimProduct' table holds the French language descriptions of products, serving to provide localized product information for French-speaking customers.",FALSE,
DimProduct,ChineseDescription,"NVARCHAR(400) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'ChineseDescription' column in the 'DimProduct' table is designed to store product descriptions in Chinese, facilitating localization and enhancing user experience for Chinese-speaking customers.",FALSE,
DimProduct,ArabicDescription,"NVARCHAR(400) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'ArabicDescription' column in the 'DimProduct' table holds descriptive text in Arabic for each product, providing essential information to Arabic-speaking customers and enhancing localization efforts in product listings.",FALSE,
DimProduct,HebrewDescription,"NVARCHAR(400) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'HebrewDescription' column in the 'DimProduct' database table holds textual descriptions of products in Hebrew, serving to provide localized information for Hebrew-speaking customers.",FALSE,
DimProduct,ThaiDescription,"NVARCHAR(400) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'ThaiDescription' column in the 'DimProduct' database table holds textual descriptions of products in the Thai language, serving to provide localized information for Thai-speaking customers.",FALSE,
DimProduct,GermanDescription,"NVARCHAR(400) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'GermanDescription' column in the 'DimProduct' database table holds textual descriptions of products in the German language, serving to provide localized information for German-speaking customers.",FALSE,
DimProduct,JapaneseDescription,"NVARCHAR(400) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'JapaneseDescription' column in the 'DimProduct' table holds localized product descriptions in Japanese, intended to provide relevant information and enhance the shopping experience for Japanese-speaking customers.",FALSE,
DimProduct,TurkishDescription,"NVARCHAR(400) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'TurkishDescription' column in the 'DimProduct' table holds localized product descriptions in Turkish, intended to provide relevant information and enhance the shopping experience for Turkish-speaking customers.",FALSE,
DimProduct,StartDate,DATETIME,"The 'StartDate' column in the 'DimProduct' table holds date values indicating when each product was introduced or made available for sale, serving to track product lifecycle and availability in inventory management.",FALSE,
DimProduct,EndDate,DATETIME,"The 'EndDate' column in the 'DimProduct' table holds date values indicating when a product is no longer available or has been discontinued, serving to track the lifecycle of products for inventory management and reporting purposes.",FALSE,
DimProduct,Status,"NVARCHAR(7) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Status' column in the 'DimProduct' table holds categorical data indicating the current state of each product, such as 'Active', 'Discontinued', or 'Pending', to facilitate inventory management and reporting.",FALSE,
DimProductCategory,ProductCategoryKey,INTEGER,"The 'ProductCategoryKey' column in the 'DimProductCategory' table holds unique identifiers for each product category, serving as a primary key to facilitate efficient data retrieval and relationships with other tables in a database.",TRUE,
DimProductCategory,ProductCategoryAlternateKey,INTEGER,"The 'ProductCategoryAlternateKey' column in the 'DimProductCategory' table holds unique identifiers for product categories, serving as an alternative key to facilitate data integration and ensure consistency across different systems or datasets.",FALSE,
DimProductCategory,EnglishProductCategoryName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EnglishProductCategoryName' column in the 'DimProductCategory' table holds textual data representing the names of product categories in English, serving to categorize and organize products for easier identification and analysis in retail or inventory systems.",FALSE,
DimProductCategory,SpanishProductCategoryName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SpanishProductCategoryName' column in the 'DimProductCategory' table holds the names of product categories in Spanish, serving to facilitate localization and enhance user experience for Spanish-speaking customers in e-commerce applications.",FALSE,
DimProductCategory,FrenchProductCategoryName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'FrenchProductCategoryName' column in the 'DimProductCategory' table holds the names of product categories in French, serving to facilitate localization and enhance user experience for French-speaking customers in e-commerce or retail applications.",FALSE,
DimProductSubcategory,ProductSubcategoryKey,INTEGER,"The 'ProductSubcategoryKey' in the 'DimProductSubcategory' table is a unique identifier for each product subcategory, used to categorize products within a broader product category for efficient data organization and retrieval in analytical processes.",TRUE,
DimProductSubcategory,ProductSubcategoryAlternateKey,INTEGER,"The 'ProductSubcategoryAlternateKey' column in the 'DimProductSubcategory' table holds a unique identifier for each product subcategory, serving as an alternative key to facilitate efficient data retrieval and ensure data integrity within the product categorization hierarchy.",FALSE,
DimProductSubcategory,EnglishProductSubcategoryName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EnglishProductSubcategoryName' column in the 'DimProductSubcategory' table holds textual data representing the names of product subcategories in English, serving to categorize and provide detailed classification for products within a broader product category for analytical and reporting purposes.",FALSE,
DimProductSubcategory,SpanishProductSubcategoryName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SpanishProductSubcategoryName' column in the 'DimProductSubcategory' table holds the names of product subcategories in Spanish, serving to facilitate localization and enhance user experience for Spanish-speaking customers in product categorization and search functionalities.",FALSE,
DimProductSubcategory,FrenchProductSubcategoryName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'FrenchProductSubcategoryName' column in the 'DimProductSubcategory' table holds the names of product subcategories in French, serving to facilitate localization and enhance user experience for French-speaking customers in product categorization and search functionalities.",FALSE,
DimProductSubcategory,ProductCategoryKey,INTEGER,"The 'ProductCategoryKey' in the 'DimProductSubcategory' table is an integer identifier that links each product subcategory to its corresponding product category, facilitating hierarchical organization and efficient querying of product data within a retail or inventory management system.",FALSE,DimProductCategory.ProductCategoryKey
DimPromotion,PromotionKey,INTEGER,"The 'PromotionKey' column in the 'DimPromotion' table is likely an integer or unique identifier that serves as a primary key to uniquely distinguish each promotional campaign or offer within the database, facilitating efficient data retrieval and analysis related to marketing efforts.",TRUE,
DimPromotion,PromotionAlternateKey,INTEGER,"The 'PromotionAlternateKey' column in the 'DimPromotion' table likely holds a unique identifier for promotions, serving as an alternative key to facilitate efficient data retrieval and ensure the integrity of promotional records across various systems.",FALSE,
DimPromotion,EnglishPromotionName,"NVARCHAR(255) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EnglishPromotionName' column in the 'DimPromotion' table holds textual data representing the name of promotional campaigns or offers in English, serving to identify and categorize various marketing initiatives within the database.",FALSE,
DimPromotion,SpanishPromotionName,"NVARCHAR(255) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SpanishPromotionName' column in the 'DimPromotion' table holds the names of promotional campaigns or offers in Spanish, serving to facilitate marketing efforts and customer engagement in Spanish-speaking markets.",FALSE,
DimPromotion,FrenchPromotionName,"NVARCHAR(255) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'FrenchPromotionName' column in the 'DimPromotion' table holds the names of promotional campaigns or offers specifically tailored for the French market, serving to facilitate localized marketing strategies and enhance customer engagement in French-speaking regions.",FALSE,
DimPromotion,DiscountPct,FLOAT,"The 'DiscountPct' column in the 'DimPromotion' table holds percentage values representing the discount rate applied to products during promotional events, serving to facilitate pricing analysis and sales reporting.",FALSE,
DimPromotion,EnglishPromotionType,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EnglishPromotionType' column in the 'DimPromotion' table holds textual descriptions of various promotional strategies or categories, such as discounts, buy-one-get-one offers, or seasonal sales, to facilitate analysis and reporting on marketing effectiveness.",FALSE,
DimPromotion,SpanishPromotionType,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SpanishPromotionType' column in the 'DimPromotion' table is designed to store categorical data representing the various types of promotions offered in Spanish-speaking markets, facilitating targeted marketing analysis and reporting.",FALSE,
DimPromotion,FrenchPromotionType,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'FrenchPromotionType' column in the 'DimPromotion' table is designed to store categorical data representing various types of promotional activities specific to the French market, such as discounts, special offers, or loyalty programs, to facilitate targeted marketing analysis and reporting.",FALSE,
DimPromotion,EnglishPromotionCategory,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EnglishPromotionCategory' column in the 'DimPromotion' table holds textual data that categorizes promotions in English, serving to classify and differentiate various promotional strategies or types for analytical and reporting purposes.",FALSE,
DimPromotion,SpanishPromotionCategory,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SpanishPromotionCategory' column in the 'DimPromotion' table is designed to store categorical data that classifies promotions specifically targeted at Spanish-speaking customers, facilitating targeted marketing strategies and analysis of promotional effectiveness within this demographic.",FALSE,
DimPromotion,FrenchPromotionCategory,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'FrenchPromotionCategory' column in the 'DimPromotion' table is designed to store categorical data representing various promotional types or classifications specific to the French market, facilitating targeted marketing analysis and reporting.",FALSE,
DimPromotion,StartDate,DATETIME,"The 'StartDate' column in the 'DimPromotion' table holds date values indicating the commencement date of promotional campaigns, serving to track the duration and effectiveness of each promotion over time.",FALSE,
DimPromotion,EndDate,DATETIME,"The 'EndDate' column in the 'DimPromotion' table holds date values indicating the expiration date of promotional offers, serving to define the duration of each promotion and facilitate effective time-based analysis and reporting.",FALSE,
DimPromotion,MinQty,INTEGER,"The 'MinQty' column in the 'DimPromotion' database table holds integer values representing the minimum quantity of items required to qualify for a promotional offer, serving to define the threshold for promotional eligibility.",FALSE,
DimPromotion,MaxQty,INTEGER,"The 'MaxQty' column in the 'DimPromotion' database table holds integer values representing the maximum quantity of items that can be purchased under a specific promotional offer, ensuring compliance with promotional limits and preventing abuse.",FALSE,
DimReseller,ResellerKey,INTEGER,"The 'ResellerKey' column in the 'DimReseller' table is likely an integer or unique identifier that serves as the primary key to uniquely distinguish each reseller in the database, facilitating efficient data retrieval and relationships with other tables.",TRUE,
DimReseller,GeographyKey,INTEGER,"The 'GeographyKey' column in the 'DimReseller' table likely holds unique identifiers for geographic locations, serving to link resellers to specific regions or areas for analysis of sales performance and market trends.",FALSE,DimGeography.GeographyKey
DimReseller,ResellerAlternateKey,"NVARCHAR(15) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'ResellerAlternateKey' column in the 'DimReseller' table holds unique identifiers for resellers that serve as alternative keys, enabling efficient data retrieval and integration across different systems or datasets.",FALSE,
DimReseller,Phone,"NVARCHAR(25) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Phone' column in the 'DimReseller' database table is designed to store contact numbers for resellers, facilitating communication and support for business transactions and customer inquiries.",FALSE,
DimReseller,BusinessType,"VARCHAR(20) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'BusinessType' column in the 'DimReseller' table holds categorical data representing the classification of resellers, such as retail, wholesale, or online, to facilitate analysis of sales performance and market segmentation.",FALSE,
DimReseller,ResellerName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'ResellerName' column in the 'DimReseller' table holds the names of companies or individuals that resell products or services, serving as a key identifier for tracking sales channels and analyzing reseller performance.",FALSE,
DimReseller,NumberEmployees,INTEGER,"The 'NumberEmployees' column in the 'DimReseller' database table holds integer values representing the total number of employees working for each reseller, serving to provide insights into the size and capacity of the reseller's operations.",FALSE,
DimReseller,OrderFrequency,"CHAR(1) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'OrderFrequency' column in the 'DimReseller' table holds numerical data representing the average number of orders placed by each reseller within a specified time period, serving to analyze purchasing behavior and optimize inventory management.",FALSE,
DimReseller,OrderMonth,TINYINT,"The 'OrderMonth' column in the 'DimReseller' table holds date values representing the month in which each order was placed, serving to facilitate time-based analysis of sales trends and reseller performance.",FALSE,
DimReseller,FirstOrderYear,INTEGER,"The 'FirstOrderYear' column in the 'DimReseller' table holds the year in which a reseller first placed an order, serving to track the longevity and engagement of resellers within the business.",FALSE,
DimReseller,LastOrderYear,INTEGER,"The 'LastOrderYear' column in the 'DimReseller' table holds integer values representing the year in which the reseller last placed an order, serving to track customer engagement and inform sales strategies.",FALSE,
DimReseller,ProductLine,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'ProductLine' column in the 'DimReseller' database table holds categorical data representing the different lines or categories of products offered by resellers, serving to facilitate analysis of sales performance and inventory management across various product segments.",FALSE,
DimReseller,AddressLine1,"NVARCHAR(60) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'AddressLine1' column in the 'DimReseller' database table holds the primary street address of a reseller, serving to identify their physical location for shipping, billing, and contact purposes.",FALSE,
DimReseller,AddressLine2,"NVARCHAR(60) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'AddressLine2' column in the 'DimReseller' database table is designed to store additional address information, such as apartment numbers, suite designations, or other secondary address details that complement the primary address in 'AddressLine1'.",FALSE,
DimReseller,AnnualSales,MONEY,"The 'AnnualSales' column in the 'DimReseller' table holds numerical data representing the total sales revenue generated by each reseller over a fiscal year, serving to analyze performance and inform business decisions.",FALSE,
DimReseller,BankName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'BankName' column in the 'DimReseller' database table holds the names of financial institutions associated with each reseller, serving to identify their banking partners for transaction processing and financial reporting.",FALSE,
DimReseller,MinPaymentType,TINYINT,"The 'MinPaymentType' column in the 'DimReseller' table likely holds data indicating the minimum payment method accepted by each reseller, serving to facilitate payment processing and ensure compliance with financial transactions.",FALSE,
DimReseller,MinPaymentAmount,MONEY,"The 'MinPaymentAmount' column in the 'DimReseller' table holds the minimum payment amount required for transactions with resellers, serving to facilitate financial analysis and ensure compliance with payment policies.",FALSE,
DimReseller,AnnualRevenue,MONEY,"The 'AnnualRevenue' column in the 'DimReseller' table holds numerical data representing the total revenue generated by each reseller over a fiscal year, serving to analyze financial performance and inform business decisions.",FALSE,
DimReseller,YearOpened,INTEGER,"The 'YearOpened' column in the 'DimReseller' database table holds integer values representing the year each reseller commenced operations, serving to analyze trends in reseller activity and performance over time.",FALSE,
DimSalesReason,SalesReasonKey,INTEGER,"The 'SalesReasonKey' column in the 'DimSalesReason' table likely holds unique identifiers for various reasons behind sales transactions, serving to categorize and analyze the motivations driving customer purchases.",TRUE,
DimSalesReason,SalesReasonAlternateKey,INTEGER,"The 'SalesReasonAlternateKey' column in the 'DimSalesReason' table likely holds a unique identifier for alternative sales reasons, serving to facilitate data integration and analysis by linking various sales motivations across different datasets.",FALSE,
DimSalesReason,SalesReasonName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SalesReasonName' column in the 'DimSalesReason' table holds descriptive names for various reasons behind sales transactions, serving to categorize and analyze sales performance based on customer motivations and influencing factors.",FALSE,
DimSalesReason,SalesReasonReasonType,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SalesReasonReasonType' column in the 'DimSalesReason' table holds categorical data that identifies the type of reason for a sale, such as promotional, seasonal, or customer-driven, to facilitate analysis of sales performance and trends.",FALSE,
DimSalesTerritory,SalesTerritoryKey,INTEGER,"The 'SalesTerritoryKey' column in the 'DimSalesTerritory' table holds unique identifiers for each sales territory, serving to link sales data to specific geographic or market regions for analysis and reporting purposes.",TRUE,
DimSalesTerritory,SalesTerritoryAlternateKey,INTEGER,"The 'SalesTerritoryAlternateKey' column in the 'DimSalesTerritory' table holds a unique identifier for each sales territory, serving as an alternative key to facilitate data integration and ensure consistency across various systems and reports.",FALSE,
DimSalesTerritory,SalesTerritoryRegion,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SalesTerritoryRegion' column in the 'DimSalesTerritory' table holds categorical data representing the geographical regions assigned to specific sales territories, facilitating the analysis of sales performance and regional market trends.",FALSE,
DimSalesTerritory,SalesTerritoryCountry,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SalesTerritoryCountry' column in the 'DimSalesTerritory' table holds data representing the country associated with each sales territory, serving to categorize and analyze sales performance and strategies by geographic location.",FALSE,
DimSalesTerritory,SalesTerritoryGroup,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SalesTerritoryGroup' column in the 'DimSalesTerritory' table likely holds categorical data representing different groupings of sales territories, which can be used for analyzing sales performance and strategizing resource allocation across various regions.",FALSE,
DimSalesTerritory,SalesTerritoryImage,VARBINARY,"The 'SalesTerritoryImage' column in the 'DimSalesTerritory' database table likely holds image data or file paths representing visual maps or logos associated with specific sales territories, serving to enhance data visualization and geographic representation in sales analysis.",FALSE,
DimScenario,ScenarioKey,INTEGER,"The 'ScenarioKey' column in the 'DimScenario' table holds unique identifiers for various scenarios, serving as a primary key to facilitate the organization and retrieval of scenario-related data for analysis and reporting purposes.",TRUE,
DimScenario,ScenarioName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'ScenarioName' column in the 'DimScenario' table holds descriptive labels for various analytical scenarios, enabling users to identify and differentiate between different modeling or forecasting situations within the database.",FALSE,
FactAdditionalInternationalProductDescription,ProductKey,INTEGER,"The 'ProductKey' column in the 'FactAdditionalInternationalProductDescription' table likely holds unique identifiers for products, serving as a primary reference to link additional descriptive information across various international markets.",TRUE,
FactAdditionalInternationalProductDescription,CultureName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'CultureName' column in the 'FactAdditionalInternationalProductDescription' table holds string values representing the names of different cultural or linguistic contexts, serving to identify the specific cultural adaptations or translations of product descriptions for international markets.",TRUE,
FactAdditionalInternationalProductDescription,ProductDescription,"NVARCHAR COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'ProductDescription' column in the 'FactAdditionalInternationalProductDescription' table holds detailed textual descriptions of products, providing essential information for international markets to enhance understanding and facilitate sales.",FALSE,
FactCallCenter,FactCallCenterID,INTEGER,"The 'FactCallCenterID' column in the 'FactCallCenter' table likely holds unique identifiers for each call center record, serving to link and reference specific call center data for analysis and reporting purposes.",TRUE,
FactCallCenter,DateKey,INTEGER,"The 'DateKey' column in the 'FactCallCenter' table holds date values in a standardized format, serving as a primary key to link call center transaction records to specific dates for time-based analysis and reporting.",FALSE,DimDate.DateKey
FactCallCenter,WageType,"NVARCHAR(15) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'WageType' column in the 'FactCallCenter' table holds categorical data indicating the classification of employee compensation, such as hourly, salaried, or commission-based, to facilitate analysis of labor costs and performance metrics within the call center operations.",FALSE,
FactCallCenter,Shift,"NVARCHAR(20) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Shift' column in the 'FactCallCenter' database table holds categorical data representing the specific work shifts (e.g., morning, afternoon, night) during which call center agents are scheduled to work, facilitating analysis of performance and staffing efficiency across different time periods.",FALSE,
FactCallCenter,LevelOneOperators,SMALLINT,"The 'LevelOneOperators' column in the 'FactCallCenter' table likely holds numerical data representing the count of first-level customer service representatives available or engaged in handling calls, serving the purpose of analyzing staffing levels and operational efficiency in call center performance.",FALSE,
FactCallCenter,LevelTwoOperators,SMALLINT,"The 'LevelTwoOperators' column in the 'FactCallCenter' table likely holds data on the number of second-level support operators involved in handling customer calls, serving to analyze the efficiency and effectiveness of escalated support processes.",FALSE,
